編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
216,104年臺中市取締酒駕情形,臺中市警察局,臺中市政府,警察局,,,臺中市取締酒駕情形
217,104年臺中市查獲侵害智慧財產權案件,臺中市警察局,臺中市政府,警察局,,,臺中市查獲侵害智慧財產權案件
218,104年臺中市經濟案件,臺中市警察局,臺中市政府,警察局,,,臺中市經濟案件
219,104年臺中市處理集會遊行發生數統計,臺中市警察局,臺中市政府,警察局,,,臺中市處理集會遊行發生數統計
220,104年臺中市取締賭博性電動玩具成果,臺中市警察局,臺中市政府,警察局,,,臺中市取締賭博性電動玩具成果
221,臺中市區公所水門,臺中市政府水利局‧防災工程科,臺中市政府,水利局,,,臺中市區公所水門位址，以KML格式提供相關資訊
222,臺中市市管水門,臺中市政府水利局‧防災工程科,臺中市政府,水利局,,,臺中市市管水門位址，以KML格式提供相關資訊
223,臺中市水利局轄管滯洪池,臺中市政府水利局‧防災工程科,臺中市政府,水利局,,,臺中市水利局轄管滯洪池，以KML格式提供相關資訊
224,臺中市水利局抽水站,臺中市政府水利局‧防災工程科,臺中市政府,水利局,,,臺中市水利局建置各抽水站位址，以KML格式提供相關資訊
225,104年臺中市查處涉嫌色情行為廣告成果,臺中市警察局,臺中市政府,警察局,,,臺中市查處涉嫌色情行為廣告成果
226,104年臺中市主要犯罪場所-嫌疑犯,臺中市警察局,臺中市政府,警察局,,,臺中市主要犯罪場所-嫌疑犯
227,臺中市土地段代碼對照表,臺中市政府地政局,臺中市政府,地政局,,,段、小段、段代碼、地所行政區代碼、備註。
228,104年臺中市查獲毒品嫌疑犯人數-犯罪方法別、教育程度別,臺中市警察局,臺中市政府,警察局,,,臺中市查獲毒品嫌疑犯人數-犯罪方法別、教育程度別
229,104年臺中市處?刑事案件嫌疑犯人?-教育程度別,臺中市警察局,臺中市政府,警察局,,,臺中市處?刑事案件嫌疑犯人?-教育程度別
230,104年臺中市主要犯罪場所-被害人別,臺中市警察局,臺中市政府,警察局,,,臺中市主要犯罪場所-被害人別
231,104年臺中市政府警察局處理涉外治安案件-分局別(嫌疑犯),臺中市警察局,臺中市政府,警察局,,,臺中市政府警察局處理涉外治安案件-分局別(嫌疑犯)
232,104年臺中市處理刑事案件-分局別,臺中市警察局,臺中市政府,警察局,,,臺中市處理刑事案件-分局別
233,104年臺中市勞工大學服務概況,勞工局,臺中市政府,勞工局,,,臺中市勞工大學服務概況
234,104年臺中市勞工志願服務概況,勞工局,臺中市政府,勞工局,,,臺中市勞工志願服務概況
235,104年臺中市獸醫診療機構統計,農業局,臺中市政府,農業局,,,臺中市獸醫診療機構統計
236,104年臺中市動物疾病檢驗件數統計,農業局,臺中市政府,農業局,,,臺中市動物疾病檢驗件數統計
237,104年臺中市偶蹄類動物口蹄疫疫苗注射措施管理,農業局,臺中市政府,農業局,,,臺中市偶蹄類動物口蹄疫疫苗注射措施管理
238,104年臺中市遭難漁船數,農業局,臺中市政府,農業局,,,臺中市遭難漁船數
239,104年臺中市遭難漁民數,農業局,臺中市政府,農業局,,,臺中市遭難漁民數
240,104年臺中市現有漁筏數量,農業局,臺中市政府,農業局,,,臺中市現有漁筏數量
241,104年臺中市現有動力漁船數─按漁業別分,農業局,臺中市政府,農業局,,,臺中市現有動力漁船數─按漁業別分
242,104年臺中市漁戶數及漁戶人口數,農業局,臺中市政府,農業局,,,臺中市漁戶數及漁戶人口數
243,104年臺中市漁業從業人數,農業局,臺中市政府,農業局,,,臺中市漁業從業人數
244,104年臺中市水產養殖面積─按魚類別分,農業局,臺中市政府,農業局,,,臺中市水產養殖面積─按魚類別分
245,104年臺中市近海、沿岸漁業、海面養殖、內陸漁撈、內陸養殖漁業生產量,農業局,臺中市政府,農業局,,,臺中市近海、沿岸漁業、海面養殖、內陸漁撈、內陸養殖漁業生產量
246,104年臺中市林業(伐木業)生產成本,農業局,臺中市政府,農業局,,,臺中市林業(伐木業)生產成本
247,104年臺中市現有農機數,農業局,臺中市政府,農業局,,,臺中市現有農機數
248,104年臺中市休閒農業統計,農業局,臺中市政府,農業局,,,臺中市休閒農業統計
249,104年臺中市有機農作物栽培概況,農業局,臺中市政府,農業局,,,臺中市有機農作物栽培概況
250,104年臺中市農業產銷班概況,農業局,臺中市政府,農業局,,,臺中市農業產銷班概況
251,104年臺中市花卉生產概況,農業局,臺中市政府,農業局,,,臺中市花卉生產概況
252,104年臺中市特用作物生產概況,農業局,臺中市政府,農業局,,,臺中市特用作物生產概況
253,104年臺中市果品生產概況,農業局,臺中市政府,農業局,,,臺中市果品生產概況
254,104年臺中市蔬菜生產概況,農業局,臺中市政府,農業局,,,臺中市蔬菜生產概況
255,104年臺中市雜糧生產概況,農業局,臺中市政府,農業局,,,臺中市雜糧生產概況
256,104年臺中市稻米生產概況,農業局,臺中市政府,農業局,,,臺中市稻米生產概況
257,104年臺中市現有河川防洪設施,水利局,臺中市政府,水利局,,,臺中市現有河川防洪設施
258,104年臺中市污水處理廠統計,水利局,臺中市政府,水利局,,,臺中市污水處理廠統計
259,104年臺中市污水下水道建設投入經費,水利局,臺中市政府,水利局,,,臺中市污水下水道建設投入經費
260,104年臺中市污水下水道系統營運管理費用及收,水利局,臺中市政府,水利局,,,臺中市污水下水道系統營運管理費用及收入
261,104年臺中市污水下水道已建設管線長度及設施,水利局,臺中市政府,水利局,,,臺中市污水下水道已建設管線長度及設施
262,104年臺中市橋梁維護工程,建設局,臺中市政府,建設局,,,臺中市橋梁維護工程
263,104年臺中市區道公路養護工程成果,建設局,臺中市政府,建設局,,,臺中市區道公路養護工程成果
264,104年臺中市市道公路養護工程成果,建設局,臺中市政府,建設局,,,臺中市市道公路養護工程成果
265,104年臺中市孔蓋下地數量,建設局,臺中市政府,建設局,,,臺中市孔蓋下地數量
266,104年臺中市路燈設備,建設局,臺中市政府,建設局,,,臺中市路燈設備
267,104年臺中市已開闢公園、綠地、兒童遊樂場、廣場、河濱公園座數面積,建設局,臺中市政府,建設局,,,臺中市已開闢公園、綠地、兒童遊樂場、廣場、河濱公園座數面積
268,104年臺中市都市計畫區域內公共工程實施數量,建設局,臺中市政府,建設局,,,臺中市都市計畫區域內公共工程實施數量
269,104年臺中市公共場所一般環境衛生管理工作成果,環境保護局,臺中市政府,環保局,,,臺中市公共場所一般環境衛生管理工作成果
270,104年臺中市政府財政局抽檢菸酒業者情形,財政局,臺中市政府,財政局,,,臺中市政府財政局抽檢菸酒業者情形
271,104年臺中市政府警察局受(處)理婦幼安全事(案)件,臺中市警察局,臺中市政府,警察局,,,臺中市政府警察局受(處)理婦幼安全事(案)件
272,104年臺中市酒後駕車肇事情形,臺中市警察局,臺中市政府,警察局,,,臺中市酒後駕車肇事情形
273,104年臺中市舉發違反道路交通管理事件成果,臺中市警察局,臺中市政府,警察局,,,臺中市舉發違反道路交通管理事件成果
274,104年臺中市道路交通音量監測不合格情形,臺中市警察局,臺中市政府,警察局,,,臺中市道路交通音量監測不合格情形
275,104年臺中市民宿業查報及取締情形,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市民宿業查報及取締情形
276,104年臺中市一般旅館業查報及取締情形,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市一般旅館業查報及取締情形
277,104年臺中市一般旅館業營運報告表,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市一般旅館業營運報告表
278,104年臺中市觀光旅館住用率及住客數,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市觀光旅館住用率及住客數
279,104年臺中市旅館業及民宿業營運報告表,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市旅館業及民宿業營運報告表
280,104臺中市旅行社及旅館家數統計,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市旅行社及旅館家數統計
281,104年臺中市旅遊服務中心旅客諮詢人數統計表,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市旅遊服務中心旅客諮詢人數統計表
282,104年臺中市大坑風景區各登山步道遊客數,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市大坑風景區各登山步道遊客數
283,104年臺中市主要觀光遊憩區遊客人次月報表,觀光旅遊局,臺中市政府,觀光旅遊局,,,臺中市主要觀光遊憩區遊客人次月報表
284,104年臺中市主要觀光遊憩區遊客人次年報表,觀光旅遊局,臺中市政府,觀光旅遊局,,,104年臺中市主要觀光遊憩區遊客人次年報表
285,104年臺中市勞工教育概況,勞工局,臺中市政府,勞工局,,,臺中市勞工教育概況
286,104年臺中市查(核)定開徵數情形,地方稅務局,臺中市政府,地方稅務局,,,臺中市查(核)定開徵數情形
287,104年臺中市印花稅徵收,地方稅務局,臺中市政府,地方稅務局,,,臺中市印花稅徵收
288,104年臺中市契稅徵收,地方稅務局,臺中市政府,地方稅務局,,,臺中市契稅徵收
289,104年臺中市使用牌照稅稅源,地方稅務局,臺中市政府,地方稅務局,,,臺中市使用牌照稅稅源
290,104年臺中市房屋稅籍,地方稅務局,臺中市政府,地方稅務局,,,臺中市房屋稅籍
291,104年臺中市娛樂稅稅源,地方稅務局,臺中市政府,地方稅務局,,,臺中市娛樂稅稅源
292,104年臺中市地方稅網路與臨櫃申報件數統計表,地方稅務局,臺中市政府,地方稅務局,,,臺中市地方稅網路與臨櫃申報件數統計表
293,104年臺中市建築物開工統計-按構造別分,都市發展局,臺中市政府,都市發展局,,,臺中市建築物開工統計-按構造別分
294,104年臺中市政府現有停車位概況─建築物附設停車空間部分,交通局,臺中市政府,交通局,,,臺中市政府現有停車位概況─建築物附設停車空間部分
295,104年臺中市使用牌照稅稽徵,地方稅務局,臺中市政府,地方稅務局,,,臺中市使用牌照稅稽徵
296,104年臺中市建築物開工統計-按用途別分,都市發展局,臺中市政府,都市發展局,,,臺中市建築物開工統計-按用途別分
297,104年臺中市核發建築物使用執照統計-按層數別分,都市發展局,臺中市政府,都市發展局,,,核發建築物使用執照統計-按用途別分
298,104年臺中市核發建築物使用執照統計-按高度別分,都市發展局,臺中市政府,都市發展局,,,臺中市核發建築物使用執照統計-按高度別分
